| 질문 | 출처(나라/표본 수) | 퍼센트 |
|------|------------------|---------|
| 미국 성인 중 UFO를 직접 목격한 적이 있는 사람의 비율은? | 미국, Ipsos/1,019명 | 10 |
| 미국 성인 중 UFO의 존재를 믿는 사람의 비율은? | 미국, Ipsos/1,019명 | 42 |
| 전 세계 인구 중 스마트폰을 소유한 사람의 비율은? | 글로벌, Statista/국가별 추정 | 54 |
| 미국 운전자 중 한 번이라도 교통사고를 낸 적이 있는 사람의 비율은? | 미국, Esurance/대형 표본 | 77 |
| 미국인 중 평생 한 번 이상 자살을 시도한 적이 있는 사람의 비율은? | 미국, JAMA Psychiatry/36,309명 | 5 |
| 미국인 중 지구가 납작하다고 강하게 믿는 사람의 비율은? | 미국, YouGov/8,215명 | 2 |
| 미국인 중 지구가 납작하다고 의심하는 사람의 비율은? | 미국, YouGov/8,215명 | 5 |
| 거짓말 탐지기(모션캡쳐)에서 거짓말이 들키는 확률은? | 영국, Cambridge/180명 | 75 |
| 거짓말 탐지기(폴리그래프)에서 거짓말이 들키는 확률은? | 영국, Cambridge/180명 | 60 |
| 미국 직장인 중 병가나 거짓 결근을 해본 적이 있는 사람의 비율은? | 미국, CareerBuilder/3,697명 | 40 |
| 전 세계적으로 '123456'이나 'password' 같은 단순 비밀번호를 사용하는 사람의 비율은? | 글로벌, NordPass/Sweclockers/970만 케이스 | 8 |
| 미국인 중 스스로 운전 실력이 평균 이상이라고 믿는 사람의 비율은? | 미국, AAA 등/1,000명 이상 | 70 |
| 한국인 중 공공장소 화장실에서 손을 제대로 씻지 않고 나오는 사람의 비율은? | 한국, 질병청/4,269명(2022) | 34 |
| 한국인 중 공공장소 화장실에서 30초 이상 비누로 손을 씻는 사람의 비율은? | 한국, 질병청/4,269명(2022) | 2 |
| 한국인 중 '나는 특별하다'고 답한 사람의 비율은? | 한국, kslrp/1,000명 | 45 |
| 해외에서 '나는 특별하다'고 답한 사람의 비율은? | 해외설문 | 45 |
| 한국 저소득층 중 자신을 중산층이라고 여기는 사람의 비율은? | 한국, KDI/3,000명 | 76 |
| 미국인 중 애완동물과 진심으로 대화한다고 믿는 사람의 비율은? | 미국, Gallup 등 | 60 |
| 영국인 중 좀비 아포칼립스에서 살아남을 거라고 믿는 사람의 비율은? | 영국, YouGov/1,000명 | 15 |
| 미국인 중 연예인과 언젠가 사귈 수 있다고 생각해본 적이 있는 사람의 비율은? | 미국, YouGov/2,300명 | 10 |
| 영국 여성 중 거짓말을 안 한다고 답했지만 실제로는 거짓말을 하는 사람의 비율은? | 영국, 텔레그래프/3,000여성 | 90 |
| 자기 집에 귀신이 있다고 느껴본 적이 있는 사람의 비율은? | 국내외 여론·기사 | 25 |
| 한국인 중 파트너의 휴대폰을 몰래 본 적이 있는 사람의 비율은? | 한국, 리서치/3,038명 | 24 |
| 미국인 중 파트너의 휴대폰을 몰래 본 적이 있는 사람의 비율은? | 미국 YouGov | 34 |
| 미국인 중 자신이 평균 이상의 지능을 가졌다고 믿는 사람의 비율은? | 미국, PLOS One/2,821명 | 65 |
| 미국인 중 알람을 껐는지 재확인한 경험이 있는 사람의 비율은? | 미국, Notre Dame/450명 | 57 |
| 영국 남성 중 전 애인의 SNS를 몰래 본 적이 있는 사람의 비율은? | 영국, Reboot Online/2,000명 | 26 |
| 영국 여성 중 전 애인의 SNS를 몰래 본 적이 있는 사람의 비율은? | 영국, Reboot Online/2,000명 | 23 |
| 미국 직장인 중 출근길에 '사표를 낼까' 생각해본 적이 있는 사람의 비율은? | 미국, FlexJobs/2,600명 | 42 |
| 영국인 중 위치추적앱을 몰래 설치해본 적이 있는 사람의 비율은? | 영국, NortonLifeLock | 8 |
| 전 세계 사람들 중 소개팅 전 상대방의 SNS나 사진을 미리 파본 경험이 있는 사람의 비율은? | 글로벌, Avast/15,000명 | 50 |
| 뉴질랜드인 중 '내가 암에 걸렸나?' 검색해본 경험이 있는 사람의 비율은? | 뉴질랜드, Auckland/277명 | 64 |
| 미국인 중 자신의 외모가 평균 이상이라고 믿는 사람의 비율은? | 미국, Pew 등 | 50 |
| 미국/독일/폴란드 부모 중 자녀를 몰래 후회한 적이 있다고 고백한 부모의 비율은? | 미/독/폴, 1,000~2,000명 | 14 |
| 폴란드 부모 중 자녀를 몰래 후회한 적이 있다고 고백한 부모의 비율은? | 폴란드, 1,000~2,000명 | 22 |
| 미국인 중 성형수술을 한 번 이상 받은 적이 있는 사람의 비율은? | 미국, Statista/2,002명 | 15 |
| 미국인 중 쓰러진 사람을 그냥 지나친다고 응답한 사람의 비율은? | 미국, Cornell/1,000여 명 | 3 |
| 미국 교도소 사형수 중 무고한 사람의 비율은? | 미국, NAS/3,000명 | 4 |
| 한국 노숙자 중 과거 중산층이었던 경험이 있는 사람의 비율은? | 한국쉼터/1,000명 | 20 |
| 미국 노숙자 중 과거 중산층이었던 경험이 있는 사람의 비율은? | 미국 | 45 |
| 영국인 중 한 달 이상 타인과 대화하지 않은 경험이 있는 사람의 비율은? | 영국, Age UK/1,896명 | 12 |
| 미국/영국 성인 중 인형 등과 함께 자는 사람의 비율은? | 미국DRG/영국/1,000명 | 21 |
| 미국인 중 홈쇼핑을 보고 직접 구매한 적이 있는 사람의 비율은? | 미국, Shopsense AI/1,152명 | 18 |
| 미국인 중 비데를 절대 사용하지 않는 사람의 비율은? | 미국, Bio Bidet/1,000명 | 71 |
| 전 세계 사람들 중 가위눌림을 경험한 적이 있는 사람의 비율은? | 글로벌, 연구종합 | 8 |
| 미국인 중 산 책을 1년 이상 개봉하지 않고 둔 적이 있는 사람의 비율은? | 미국, WordsRated/2,003, YouGov/1,500 | 52 |
| 금연을 결심한 사람 중 성공한 사람의 비율은? | 미국 등 보건기관 | 8 |
| 한국인 중 외국인과 교제할 의향이 있는 사람의 비율은? | 한국, 기사·연구 | 35 |
| 한국 혼인 중 국제결혼의 비율은? | 한국, 통계청 등 | 11 |
| 영국인 중 노숙자에게 돈을 준 적이 있는 사람의 비율은? (2023년) | 영국, Beam/2,000명 | 4 |
| 영국인 중 노숙자에게 돈을 준 적이 있는 사람의 비율은? (2021년) | 영국, Beam/2,000명 | 11 |
| 영국인 중 노숙자에게 돈을 준 적이 있는 사람의 비율은? (2022년) | 영국, Beam/2,000명 | 9 |
| 한국인 중 애완동물을 키운 경험이 있는 사람의 비율은? | 한국, KB금융(2025) | 30 |
